,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3p%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
1,Golden State Warriors,82,67,15,,3956,9503,3532,7140,,982,2562,,1457,1850,,770,2873,3643,2491,1211,785,555,313,1585,1588,954
2,San Antonio Spurs,82,61,21,,3961,8637,3222,6864,,753,1927,,1440,1806,,821,2777,3598,1954,1101,655,484,333,1498,1623,590
3,Houston Rockets,82,55,27,,3956,9458,3305,7152,,1181,3306,,1667,2177,,892,2746,3638,2070,1240,670,352,409,1634,1674,473
4,Boston Celtics,82,53,29,,3951,8857,3168,6977,,985,2741,,1536,1903,,743,2698,3441,2069,1088,617,340,425,1686,1664,216
5,Cleveland Cavaliers,82,51,31,,3976,9048,3275,6963,,1067,2779,,1431,1913,,766,2821,3587,1858,1121,539,327,349,1486,1690,261
5,LA Clippers,82,51,31,,3951,8911,3242,6820,,841,2245,,1586,2128,,738,2790,3528,1848,1062,612,347,258,1626,1835,352
5,Toronto Raptors,82,51,31,,3956,8762,3211,6918,,725,1996,,1615,2028,,871,2676,3547,1517,1041,677,400,392,1708,1666,345
5,Utah Jazz,82,51,31,,3951,8258,3033,6515,,791,2128,,1401,1875,,771,2774,3545,1651,1118,550,410,312,1545,1655,323
9,Washington Wizards,82,49,33,,3971,8953,3388,7137,,756,2030,,1421,1812,,843,2671,3514,1956,1162,693,336,377,1745,1621,148
10,Oklahoma City Thunder,82,47,35,,3961,8741,3237,7169,,692,2116,,1575,2113,,1002,2821,3823,1721,1230,648,408,450,1715,1697,62
11,Atlanta Hawks,82,43,39,,3976,8459,3123,6918,,729,2137,,1484,2039,,842,2793,3635,1938,1294,672,397,424,1491,1768,-70
11,Memphis Grizzlies,82,43,39,,3981,8239,2984,6854,,767,2169,,1504,1918,,886,2621,3507,1744,1059,653,344,410,1840,1708,40
13,Indiana Pacers,82,42,40,,3971,8618,3221,6931,,709,1885,,1467,1811,,742,2702,3444,1844,1130,669,409,407,1597,1599,-18
13,Milwaukee Bucks,82,42,40,,3956,8497,3182,6715,,720,1946,,1413,1839,,723,2589,3312,1984,1145,666,436,375,1660,1579,-15
15,Chicago Bulls,82,41,41,,3956,8435,3169,7141,,623,1831,,1474,1848,,999,2797,3796,1851,1112,643,393,378,1455,1541,35
15,Miami Heat,82,41,41,,3956,8460,3202,7037,,808,2213,,1248,1768,,872,2705,3577,1742,1102,588,469,398,1680,1530,87
15,Portland Trail Blazers,82,41,41,,3986,8851,3243,7059,,852,2272,,1513,1940,,830,2750,3580,1733,1126,574,408,431,1736,1624,-43
18,Denver Nuggets,82,40,42,,3951,9161,3377,7194,,870,2365,,1537,1986,,966,2837,3803,2077,1226,568,323,404,1567,1653,42
19,Detroit Pistons,82,37,45,,3961,8309,3269,7282,,631,1915,,1140,1586,,908,2838,3746,1732,973,574,310,339,1467,1434,-92
20,Charlotte Hornets,82,36,46,,3966,8601,3093,7000,,824,2347,,1591,1953,,721,2853,3574,1891,942,571,390,450,1360,1631,16
21,New Orleans Pelicans,82,34,48,,3981,8556,3210,7130,,768,2196,,1368,1825,,703,2879,3582,1869,1054,638,453,348,1490,1581,-172
22,Dallas Mavericks,82,33,49,,3956,8029,2968,6750,,878,2473,,1215,1516,,647,2516,3163,1705,972,614,307,280,1567,1591,-240
23,Sacramento Kings,82,32,50,,3976,8430,3105,6734,,737,1960,,1483,1913,,715,2652,3367,1844,1201,627,324,420,1667,1646,-318
24,Minnesota Timberwolves,82,31,51,,3961,8657,3235,6922,,601,1723,,1586,1986,,938,2540,3478,1940,1150,654,370,413,1646,1681,-91
24,New York Knicks,82,31,51,,3971,8556,3244,7256,,704,2022,,1364,1731,,983,2723,3706,1786,1139,581,455,377,1668,1516,-301
26,Orlando Magic,82,29,53,,3961,8288,3139,7133,,701,2139,,1309,1753,,807,2734,3541,1820,1091,580,396,419,1584,1532,-539
27,Philadelphia 76ers,82,28,54,,3966,8400,3088,6992,,831,2443,,1393,1806,,807,2706,3513,1949,1366,692,420,446,1793,1610,-467
28,Los Angeles Lakers,82,26,56,,3941,8575,3224,7164,,730,2110,,1397,1853,,933,2636,3569,1716,1243,674,320,440,1698,1520,-564
29,Phoenix Suns,82,24,58,,3966,8831,3270,7260,,615,1854,,1676,2159,,976,2712,3688,1604,1265,673,399,435,2030,1822,-462
30,Brooklyn Nets,82,20,62,,3951,8673,3102,6987,,877,2591,,1592,2020,,721,2879,3600,1756,1356,593,387,457,1726,1671,-552
1,Golden State Warriors,17,16,1,,816,2028,730,1479,,216,559,,352,432,,158,620,778,480,232,148,104,65,370,367,230
2,Cleveland Cavaliers,18,13,5,,864,2092,737,1495,,256,610,,362,472,,166,593,759,397,235,133,84,68,338,401,143
3,Houston Rockets,11,6,5,,533,1185,410,935,,141,423,,224,284,,109,363,472,215,154,85,51,77,230,214,13
4,Washington Wizards,13,7,6,,629,1405,521,1139,,109,344,,254,320,,145,414,559,296,179,103,86,57,299,293,0
5,Boston Celtics,18,9,9,,869,1894,691,1513,,229,620,,283,366,,170,513,683,485,242,139,74,93,374,342,-52
5,San Antonio Spurs,16,8,8,,778,1713,640,1385,,137,391,,296,383,,204,507,711,341,204,124,75,63,300,341,16
7,LA Clippers,7,3,4,,336,684,255,539,,57,164,,117,168,,54,210,264,129,85,44,17,22,142,146,-8
8,Toronto Raptors,10,4,6,,480,967,353,795,,78,235,,183,225,,68,325,393,196,129,74,44,50,209,199,-57
9,Utah Jazz,11,4,7,,528,1076,392,862,,104,285,,188,257,,74,356,430,217,133,81,35,36,232,224,-52
10,Atlanta Hawks,6,2,4,,288,633,225,507,,50,164,,133,174,,68,198,266,134,96,36,20,45,128,149,-7
10,Chicago Bulls,6,2,4,,288,579,218,495,,42,141,,101,119,,75,205,280,120,92,43,31,22,110,103,-41
10,Memphis Grizzlies,6,2,4,,293,578,208,463,,56,145,,106,122,,46,167,213,113,68,31,15,23,133,115,-50
10,Milwaukee Bucks,6,2,4,,288,559,209,469,,54,130,,87,125,,49,179,228,127,80,49,30,28,128,127,-4
14,Oklahoma City Thunder,5,1,4,,240,521,193,437,,42,135,,93,135,,61,157,218,99,64,42,40,25,111,113,-43
15,Indiana Pacers,4,0,4,,192,435,162,348,,45,115,,66,86,,47,121,168,90,53,32,15,25,91,73,-16
15,Portland Trail Blazers,4,0,4,,192,406,142,358,,44,136,,78,97,,40,136,176,63,61,29,19,41,87,75,-72